,first,last,employer,title,name,Fullname,start_at_this,school_current,title_current,gender,come_from,move_to,department,website,cv,phd,phd_year,master,master_year,bachelor,bachelor_year,career,postdoc,Unnamed: 21,id
300,Stephanie,Davis,Virginia Polytechnic Institute and State University,Assistant Professor,Stephanie Davis,Stephanie Davis,2015,Y,ASST ,F,,,Center of Public Administration and Policy,https://spia.vt.edu/people/faculty/davis.html,https://spia.vt.edu/content/dam/spia_vt_edu/cvs/Davis%20Vitae%202019.pdf,Virginia Commonwealth University,2018,Virginia Commonwealth University,2001,Virginia Tech,1994,,,,['AUTHOR_ID:57217179276']
301,Stephanie,Smith,Virginia Polytechnic Institute and State University,Assistant Professor,Stephanie Smith,Stephanie Smith,2015,Y,ASST,F,,,Communications,,https://docs.google.com/document/d/10h8DMixv2Eq0sR8juMiGY_3EnOq6j2Mr2hQnVYKoRRY/preview,Universtiy of Arizona,2015,Northwestern University,2010,DePaul University,2008,,,,"['AUTHOR_ID:57135603100', 'AUTHOR_ID:55970126400']"
302,Suchitra,Samanta,Virginia Polytechnic Institute and State University,Assistant Professor,Suchitra Samanta,Suchitra Samanta,2005,Y,ASSOC,F,,,Sociology,,https://drive.google.com/file/d/1h-V8wRpNmfgA1YRFVuiem2egql3-V8in/preview,University of Virginia,1990,University of Virginia; University of Virginia ,1984;1987,"Lady Bradbourne Collge, Calcutta, India",1968,"Hampden-Sydney College, 1991; University of Richmond, 1993-1996; Hollins University, 1997-2001; Radford University, 2001-2004; ","James Madison University, 1990; ",,['AUTHOR_ID:57191669992']
303,Suqin,Ge,Virginia Polytechnic Institute and State University,Assistant Professor,Suqin Ge,Suqin Ge,2006,Y,ASSOC,F,,,Economics,,http://www.gesuqin.com/ge_cv.pdf,University of Minnesota,2000-2006,"Fudan University, China",1997-2000,"Southeast University, China",1993-1997,,,,['AUTHOR_ID:37661325400']
304,Susan,Chen,Virginia Polytechnic Institute and State University,Associate Professor,Susan Chen,Susan Chen,2017,Y,ASSOC,F,,,Agriculture and Applied Economics,https://aaec.vt.edu/people/faculty/chen-susan.html,,"University of North Carolina, Chapel Hill",2004,"University of Wisconsin, Madison",1995,Cornell University,1992,"Purdue University, 2006-2010; Univesity of Alabama, 2010-2017","Duke University, 2003-2005;",,"['AUTHOR_ID:57209348359', 'AUTHOR_ID:57218208385']"
305,Sylvester,Johnson,Virginia Polytechnic Institute and State University,Professor,Sylvester Johnson,Sylvester Johnson,1998,Y,ASSOC,F,,,Modern and Classical Languages and Literature,,https://drive.google.com/file/d/1eKsknZDHECQaxfjyeV615OpF-gSXFDWs/preview,University of Wisconsin-Madison,1996,University of Wisconsin-Madison,1989,Kalamazoo College,1979,"The Colorado College, 1997-1998;",,,['AUTHOR_ID:55466783400']
306,Toni,Calasanti,Virginia Polytechnic Institute and State University,Professor,Toni M. Calasanti,Toni Calasanti,1987,Y,PROF,F,,,Sociology,,https://drive.google.com/file/d/1XozsQ-5cPWjDoIcqyBK_zhm8srvWI97B/preview,University of Kentucky,1987,University of Kentucky,1981,Loyola Marymount University,1977,,,,['AUTHOR_ID:6603461292']
307,Virginia,Fowler,Virginia Polytechnic Institute and State University,Professor,Virginia C. Fowler,Virginia Fowler,1977,Y,PROF,F,,,English,,https://drive.google.com/file/d/11kSS-cG0ZqYmM0Xbwl232bpN9Vi74P3F/preview,University of Pittsburgh,1976,University of Pittsburgh,1971,Unversity of Kentucky,1969,,,,
308,Wenwen,Zhang,Virginia Polytechnic Institute and State University,Assistant Professor,Wenwen Zhang,Wenwen Zhang,2017,Y,ASST,F,,,Urban Affairs and Planning,,https://spia.vt.edu/content/dam/spia_vt_edu/cvs/Zhang%20Wenwen%20CV%2011052019.pdf,Georgia Institute of Technology,2017,Georgia Institute of Technology; Georgia Institute of Technology; Georgia Institute of Technology; Georgia Institute of Technology,2013;2013;2017,"Zhejiang University, China",2011,,,,"['AUTHOR_ID:56900468200', 'AUTHOR_ID:57218506903', 'AUTHOR_ID:57215936466', 'AUTHOR_ID:57212226078']"
309,Xu,Lin,Virginia Polytechnic Institute and State University,Associate Professor,Xu Lin,Xu Lin,2017,Y,ASSOC,F,,,Economics,,https://drive.google.com/file/d/12UfihdE7Moj-n5Yp7hjW0HntuSSPg_wp/view,The Ohio State University,2006,"Renmin University of China, Beijing, P. R.
China; The Ohio State University",2000;2001,"Renmin University of China, Beijing, P. R. China",1997,"Tsinghua University, Beijing, P. R. China., 2006-2009; Wayne State University, 2009-2017 ",,,['AUTHOR_ID:57195985963']
310,A,Hammett,Virginia Polytechnic Institute and State University,Professor,A L. Hammett (TOM),A Hammett,1995,Y,PROF,M,,,Sustainable Biomaterials,https://www.linkedin.com/in/a-l-tom-hammett-7656b112/,,The University of Georgia,1988-1991,.,,University of New Hampshire,1970-1974,,Yale University 1992-1995,,"['AUTHOR_ID:6604058653', 'AUTHOR_ID:57191630982']"
311,Aaron,Ansell,Virginia Polytechnic Institute and State University,Assistant Professor,Aaron Ansell,Aaron Ansell,2012,Y,ASST,M,,,Religion and Culture,,https://drive.google.com/file/d/14nZBkFlSonmloJoSxJ1iN7AF5aeso481/preview,The University of Chicago,2007,The University of Chicago,2002,University of California San Diego,1999,Monmouth University 2007-2012;,,,['AUTHOR_ID:35423491000']
312,Aaron,Brantly,Virginia Polytechnic Institute and State University,Assistant Professor,Aaron Brantly,Aaron Brantly,2017,Y,ASST,M,,,Political Science,,https://drive.google.com/file/d/0BwSZF3oYTnaBZHhDTWR6QmVibGM/preview,The University of Georgia,2012,The American University,2008,Queens University of Charlotte ,2004,United States Military Academy 2014-2017;,National Democratic Institute 2012-2014,,['AUTHOR_ID:56165178400']
313,Aaron,Purcell,Virginia Polytechnic Institute and State University,Professional - Professor,Aaron D. Purcell,Aaron Purcell,2007,Y,DIRECTOR,M,,,Special Collections,https://www.linkedin.com/in/aaron-purcell-a3391715/,,"University of Tennessee, Knoxville ",2006,University of Louisville; University of Maryland,1996; 1999,,,,,,['AUTHOR_ID:7005219905']
314,Aaron,Gross,Virginia Polytechnic Institute and State University,Assistant Professor,Aaron Gross,Aaron Gross,2017,Y,ASST,M,,,Entomology,https://www.linkedin.com/in/aaron-gross-907a3425/,,Iowa State University,2014,Iowa State University,2010,St. Cloud State University,2007,,"University of Florida, 2014-2017",,['AUTHOR_ID:55523234600']
315,Aaron,Goldstein,Virginia Polytechnic Institute and State University,Associate Professor,Aaron S. Goldstein,Aaron Goldstein,,Y,ASSOC,M,,,Chemical Engineering,https://www.apps.che.vt.edu/Goldstein-2012/Faculty-Home.php; https://che.vt.edu/People/Faculty/Goldstein.html,,Carnegie Melon University,1997,.,,"University of California, Berkeley,",1990,,,,['AUTHOR_ID:7403063245']
316,Abhijin,Adiga,Virginia Polytechnic Institute and State University,Research Assistant Professor,Abhijin Adiga,Abhijin Adiga,2018,N,RS ASST ,M,,University of Virginia,Biocomplexicty institute and initiative ,https://www.linkedin.com/in/abhijin-adiga-1b4b36128/; https://biocomplexity.virginia.edu/abhijin-adiga,,Indian Institute of Science,2006-2011,Indian Institute of Science,2003,Bangalore University,2000,"Virginia Tech, 2016-2018;","Virginia Tech, 2011-2016;",,['AUTHOR_ID:24376198600']
317,Adam,Barnes,Virginia Polytechnic Institute and State University,Assistant Professor,Adam Barnes,Adam Barnes,2015,Y,ASST,M,,,Electrical and Computer Engineering ,https://engineering.virginia.edu/faculty/adam-barnes,,,,Virginia Tech,1997,,,,,,['AUTHOR_ID:57197207217']
318,Adam,Dominiak,Virginia Polytechnic Institute and State University,Assistant Professor,Adam Dominiak,Adam Dominiak,2011,Y,ASSOC,M,,,Economics,,http://www.adominiak.com/adam-dominiak-cv.pdf,"University of Heidelberg, Germany",2011,University of HeidelBerg,2006,,,,,,['AUTHOR_ID:35221266900']
319,Adam,Eckerd,Virginia Polytechnic Institute and State University,Assistant Professor,Adam M. Eckerd,Adam Eckerd,2017,N,ASST,M,,Indiana University,Center for Public Administration and Policy,https://oneill.iupui.edu/contact/people-directory/eckerd-adam.html,,The Ohio State University,2011,John Hopkins University,2003,Shippensburg University,1998," University of Kanas, 2011-2012; Virginia Tech 2012-2017;",,,['AUTHOR_ID:36731052500']
320,Adi,Livnat,Virginia Polytechnic Institute and State University,Assistant Professor,Adi Livnat,Adi Livnat,2014,N,ASST,M,,University of Haifa,Evolutionary and Environmental Biology,https://www.livnatlab.com/who-we-are; https://simons.berkeley.edu/people/adi-livnat; https://data.richmond.com/salaries/search?q=Adi+Livnat,,Princeton University,2006,Princeton University,,Stanford University,,Virginia Tech 2010-2014,UC Berkeley 2006-2010,,['AUTHOR_ID:12767311400']
321,Adil,Godrej,Virginia Polytechnic Institute and State University,Research Associate Professor,Adil N. Godrej,Adil Godrej,1989,Y,RS ASSOC,M,,,Civil and Environmental Engineering,https://www.linkedin.com/in/adil-godrej-95317a7/,,Virginia Tech,1989,Virginia Tech,,Birla Institute of Technology and Science,1979,,,,['AUTHOR_ID:6508275164']
322,Aditya,Johri,Virginia Polytechnic Institute and State University,Assistant Professor,Aditya Johri,Aditya Johri,2007,Y,ASST,M,,,Engineering Education,,http://mason.gmu.edu/~johri/Aditya%20Johri%20-%20Curriculum%20Vitae.pdf,Stanford University,2007,University of Georgia; Georgia Institute of Technology; George Mason University,2000; 2002;2019,Delhi College of Engineering,1998,,,,['AUTHOR_ID:25655003800']
323,Adrian,Rodriguez-Marek,Virginia Polytechnic Institute and State University,Associate Professor,Adrian Rodriguez-Marek,Adrian Rodriguez-Marek,2010,Y,ASST,M,,,Civil and Environmental Engineering,,https://www.linkedin.com/in/adrian-rodriguez-marek-4893794/,University of Califormoa Berkely,1996-2000,,,,,"Washington State Universtity, 2000-2010",,,['AUTHOR_ID:6506036632']
324,Adrian,Sandu,Virginia Polytechnic Institute and State University,Professor,Adrian Sandu,Adrian Sandu,2003,Y,PROF,M,,,Computer Science,http://people.cs.vt.edu/~asandu/,http://people.cs.vt.edu/~asandu/,University of Iowa ,1997,University “Politehnica” Bucharest ,1990,University “Politehnica” Bucharest ,1990,Michigan Technological University 1998-2003;,New York University 1997-1998,,['AUTHOR_ID:7004037858']
325,Ahmad,Safaai-Jazi,Virginia Polytechnic Institute and State University,Professor,Ahmad Safaai-Jazi,Ahmad Safaai-Jazi,,Y,PROF,M,,,Electrical and Computer Engineering,https://ece.vt.edu/people/profile/safaaijazi,,McGill University,1978,,,,,,,,['AUTHOR_ID:7004293822']
326,Ahmed,Hadi,Virginia Polytechnic Institute and State University,Research Assistant Professor,Ahmed Abdel Hadi,Ahmed Hadi,2018,N,ASST,M,,The Unversity of Houston,Electrical and Computer Engineering,https://www.linkedin.com/in/ahmed-abdelhadi-9a0ab848/,,The University of Texas at Austin,2008-2011,,,,,"Research Assistant Professor, Virginia Tech, 2016-2018;","Virginia Tech, 2012-2016",,['AUTHOR_ID:36140991100']
327,Akshay,Sharma,Virginia Polytechnic Institute and State University,Assistant Professor,Akshay Sharma,Akshay Sharma,2004,Y,ASSOC,M,,,Architecture and Design,https://www.linkedin.com/in/akshay-sharma-9a87b95/,,,,Arizona State University,1999-2001,"School of Planning and Architecture, New Delhi",.,,,,"['AUTHOR_ID:55893531900', 'AUTHOR_ID:57208027859']"
328,Alan,Kornhauser,Virginia Polytechnic Institute and State University,Associate Professor,Alan A. Kornhauser,Alan Kornhauser,,N,ASSOC,M,,RETIRED,Mechanical Engineering ,,,Massachusetts Institute of Technology,,Rensselaer Polytechnic Institute,,Rensselaer Polytechnic Institute,,,,,['AUTHOR_ID:7004985724']
329,Alan,Asbeck,Virginia Polytechnic Institute and State University,Assistant Professor,Alan Asbeck,Alan Asbeck,2015,Y,ASST,M,,,Mechanical Engineering ,http://www.me.vt.edu/people/faculty/alan-asbeck/,,Stanford University,2010,Massachusetts institute of technology,2003,Massachusetts institute of technology,2002,,"Stanford University, 2010-2012;Harvard University, 2012-2015;",,['AUTHOR_ID:14631836800']
330,Alan,Ealy,Virginia Polytechnic Institute and State University,Associate Professor,Alan D. Ealy,Alan Ealy,,Y,ASSOC,M,,,Animal and Poultry Sciences,https://www.apsc.vt.edu/OurPeople/Faculty/ealy.html,,The University of Florida,1994,Michigan State University,1990,Pennsylvania State University,1987,,"University of Missouri-Columbia, 1994-1998",,['AUTHOR_ID:6701713703']
331,Alan,Brown,Virginia Polytechnic Institute and State University,Professor,Alan J. Brown,Alan Brown,1998,Y,PROF,M,,,Aerospace and Ocean Engineering ,https://www.aoe.vt.edu/people/faculty/brown.html,,Massachusetts Institute of Technology,1986,Massachusetts Institute of Technology,1973,Massachusetts Institute of Technology,1971,"MIT, 1992-1997;",,,['AUTHOR_ID:57193543819']
332,Alan,Grant,Virginia Polytechnic Institute and State University,Administrative - Professor,Alan L. Grant,Alan Grant,2009,Y,PROF,M,,,Agriculture and Life,https://www.linkedin.com/in/alan-grant-b1703895/,,Michigan State University,1990,Michigan State University,.,Cornell University,1984,Purdue University 1990-2009;,,,['AUTHOR_ID:7402445913']
333,Alan,Michaels,Virginia Polytechnic Institute and State University,Research Associate Professor,Alan Michaels,Alan Michaels,2015,Y,RS ASST,M,,,Hume Center for National Security and Technology,https://www.linkedin.com/in/alan-michaels-1066814/,,Georgia Institute of Technology,2009,Georgia Institute of Technology,2005,Georgia Institute of Technology,2000,,,,['AUTHOR_ID:37006943500']
334,Alan,Druschitz,Virginia Polytechnic Institute and State University,Associate Professor,Alan P. Druschitz,Alan Druschitz,2011,Y,ASSOC,M,,,Materials Science and Engineering,https://www.linkedin.com/in/alan-druschitz-605ba446/,,Illinois Institiute of Technology,1982,.,,Illinois Institiute of Technology,1978,University of Alabama at Birmingham  2007-2011;,General Motors Research Laboratories 1982-1996,,['AUTHOR_ID:6506617913']
335,Alan,Esker,Virginia Polytechnic Institute and State University,Professor,Alan R. Esker,Alan Esker,1999,Y,PROF,M,,,Chemistry,https://www.linkedin.com/in/alan-esker-09b6368/,,The University of Wisconsin ,1996,.,,The University of Wisconsin ,1991,,,,['AUTHOR_ID:6701829346']
336,Alan,Abrahams,Virginia Polytechnic Institute and State University,Assistant Professor,Alan S. Abrahams,Alan Abrahams,2007,Y,ASSOC,M,,,Business Information Technology,https://www.linkedin.com/in/alan-abrahams-0a194/,,The University of Cambridge,2002,The Warton School,2007,The University of Cape Town,1997,,,,['AUTHOR_ID:16052044200']
337,Alan,Weinstein,Virginia Polytechnic Institute and State University,Assistant Professor,Alan S. Weinstein,Alan Weinstein,,Y,ASST,M,,,"Cello, Bass, Chamber Music",https://www.performingarts.vt.edu/index.php/faculty-staff/view/alan-weinstein ; https://www.linkedin.com/in/alan-weinstein-6b511143/,,.,,Eastman School of Music,1986,New England Conservatory of Music,,,,,['AUTHOR_ID:35228203700']
338,Alan,Wang,Virginia Polytechnic Institute and State University,Associate Professor,Alan Wang,Alan Wang,2006,Y,ASSOC,M,,,Business Information Technology,https://www.wang.bit.vt.edu/,,The University of Arizona,2006,Louisianna State University,2001,Tianjin University,1995,,,,"['AUTHOR_ID:56697656300', 'AUTHOR_ID:57219394332', 'AUTHOR_ID:57194270305']"
339,Albert,Auguste,Virginia Polytechnic Institute and State University,Assistant Professor,Albert Auguste,Albert Auguste,2017,Y,ASST,M,,,Entomology,https://www.ento.vt.edu/people/Faculty0/Auguste.html,,The University of West Indies,2011,.,,The University of West Indies,2006,"University of Texas Medical Branch, 2016-2017"," University of Texas Medical Branch, 2011-2016;",,['AUTHOR_ID:24821776100']
340,Albert,Davis,Virginia Polytechnic Institute and State University,Admin - Professor and ES,Albert J. Davis,Albert Davis,,N,.,M,,RETIRED,Architecture and design,https://archdesign.caus.vt.edu/faculty/a-jack-davis-faia-leed-ap/,,,,Virginia Tech,,Virginia Tech,,University of Florida; Boston Architectural Center;,,,['AUTHOR_ID:56969337000']
341,Alejandro,Diez,Virginia Polytechnic Institute and State University,Assistant Professor,Alejandro Salado Diez,Alejandro Diez,2015,Y,ASST,M,,,Engineering Education,,https://www.ise.vt.edu/content/dam/ise_vt_edu/one-theme-people/cvs/Salado%20CV.pdf,Stevens Institute of Technology,2014,"Polytechnic University of Catalonia; Polytechnic University of Catalonia;Technical University of Delft, Delft, The Netherlands",2010;2009;2008,Polytechnic University of Valencia,2007,"University of South East Norway, Kongsberg, Norway 2013-2015; ",,,
342,Alexander,Brand,Virginia Polytechnic Institute and State University,Assistant Professor,Alexander Brand,Alexander Brand,2018,Y,ASST,M,,,Civil and Environmental Engineering,https://www.linkedin.com/in/alex-brand-924b847/,,University of Illinois at Urbana-Champagne ,2015,University of Illinois at Urbana-Champagne ,2012,University of Illinois at Urbana-Champagne ,2010,," NRC NIST, 2016-2018 ",,['AUTHOR_ID:55859518800']
343,Alexander,Dickow,Virginia Polytechnic Institute and State University,Assistant Professor,Alexander Dickow,Alexander Dickow,2011,Y,ASSOC,M,,,Moddern and Classical Languages and Literatures,,https://drive.google.com/file/d/1Cqr4NOX-tjdXvrzFHX2KugYu0O0ERR5R/preview,Rutgers University and University of Paris,2011,Rutgers University,2006,Reed College,2002,,,,['AUTHOR_ID:55454200000']
344,Alexander,Elgart,Virginia Polytechnic Institute and State University,Assistant Professor,Alexander Elgart,Alexander Elgart,2007,Y,ASSOC,M,,,Math,,http://intranet.math.vt.edu/people/aelgart/vita.pdf,Technion- Israel Institute of Technology,2000,Technion- Israel Institute of Technology,1998,Technion- Israel Institute of Technology,1994,," Princeton University 2000-2002; New York University, 2002-2003; Stanford University, 2003-2005; Ben Gurion University at Negev, 2006-2007",,['AUTHOR_ID:6602325529']
345,Alexander,Leonessa,Virginia Polytechnic Institute and State University,Associate Professor,Alexander Leonessa,Alexander Leonessa,2007,Y,PROF,M,,,Mechanical Engineering ,http://www.me.vt.edu/people/faculty/alexander-leonessa/,,Georgia Tech,1999,Georgia Tech,1999-1997,"University of Rome “La Sapienza,”",1993,"Florida Atlantic University, 2000-2003; University of Central Florid, 2003-2007;",,,['AUTHOR_ID:7003758699']
346,Alexander,Aning,Virginia Polytechnic Institute and State University,Associate Professor,Alexander O. Aning,Alexander Aning,,Y,ASSOC,M,,,Materials Science and Engineering,https://mse.vt.edu/faculty_staff/aning.html,,University of Missouri-Rolla,1982,.,,Morgn State University,1976,,,,['AUTHOR_ID:6601979101']
347,Alexander,Silvis,Virginia Polytechnic Institute and State University,Research Assistant Professor,Alexander Silvis,Alexander Silvis,2017,Y,RS ASST,M,,,Fish and Wildlife Conservation,https://cnre.vt.edu/about/newsmagazine/articles/faculty-briefs/201702/new-college-faculty.html,,Virginia Tech,2014,The Ohio State Unviersity,2011,Wittenberg University,,,,,['AUTHOR_ID:56033045600']
348,Alexander,Smith,Virginia Polytechnic Institute and State University,Assistant Professor,Alexander Smith,Alexander Smith,2015,Y,ASST,M,,,Economics,https://alecsmith.github.io/assets/cv.pdf,,University of Arizona,2009,University of Arizona,2006,Dartmouth College,1993,"University of Arizona, 2013-2015","California Institute of technology, 2009-2013",,['AUTHOR_ID:55571608500']
349,Alexander,Niemiera,Virginia Polytechnic Institute and State University,Associate Professor,Alexander X. Niemiera,Alexander Niemiera,2013,Y,PROF,M,,,Plant and Environmentsal Sciences ,https://spes.vt.edu/faculty-staff/faculty/niemiera-alex.html,,Virginia Tech,1985,Virginia Tech,1981,University of Kentucky; Roanoke College,1973; 1978,,,,['AUTHOR_ID:6603332519']
350,Alexei,Morozov,Virginia Polytechnic Institute and State University,Assistant Professor,Alexei Morozov,Alexei Morozov,2012,Y,ASST,M,,,Biomedical Research Institute,https://research.vtc.vt.edu/people/alexei-morozov/,,University of Illinois at Chicago,1991-1996,Moscow State University,1982-1987,,,,"Columbia University,1996-2002; National Institute of Mental Health 2002-2012;",,['AUTHOR_ID:57203088581']
351,Alexey,Onufriev,Virginia Polytechnic Institute and State University,Associate Professor,Alexey Onufriev,Alexey Onufriev,2003,Y,PROF,M,,,Computer Science and Physics,https://www.linkedin.com/in/alexey-onufriev-4971aa20/,,Brown University,1997,Moscow Institute of Physics and Technology,1991,,,,,,['AUTHOR_ID:6602194106']
352,Alfred,Wicks,Virginia Polytechnic Institute and State University,Associate Professor,Alfred L. Wicks,Alfred Wicks,1986,Y,ASSOC,M,,,Mechanical Engineering ,http://www.me.vt.edu/people/faculty/alfred-l-wicks/,,Michigan Tech,1986,Rochester Institute of technology,1972,Clarckson University,1970,,,,['AUTHOR_ID:7007005156']
353,Ali,Habibnia,Virginia Polytechnic Institute and State University,Assistant Professor,Ali Habibnia,Ali Habibnia,2018,Y,ASST,M,,,Economics,,http://www.alihabibnia.com/wp-content/uploads/2019/12/Ali_Habibnia_CV.pdf,London School of Economics,2017,Cass Business School; University of Tehran,2012; 2010,University of Teharan,2007,,,,
354,Ali,Butt,Virginia Polytechnic Institute and State University,Assistant Professor,Ali R. Butt,Ali Butt,2006,Y,PROF,M,,,Computer Science,https://www.linkedin.com/in/butta/,,Purdue University,2006,"University of Engineering and Technology, Lahore",,,,,,,['AUTHOR_ID:8552023700']
355,Alireza,Haghighat,Virginia Polytechnic Institute and State University,Professor,Alireza Haghighat,Alireza Haghighat,2011,Y,PROF,M,,,Mechanical Engineering,http://www.me.vt.edu/people/faculty/alireza-haghighat/,http://www.cpe.vt.edu/transport/CV-Haghighat.pdf,University of Washington,1986,University of Washington,1981,"Pahlavi (Shiraz) University, Shiraz, Iran",1978," Penn State University, 1986-2001; University of Florida, 2001-2011",,,['AUTHOR_ID:7003522310']
356,Allan,Lumba,Virginia Polytechnic Institute and State University,Assistant Professor,Allan Lumba,Allan Lumba,,Y,ASST,M,,,History,https://liberalarts.vt.edu/departments-and-schools/department-of-history/faculty/allan-lumba.html,,University of Washington,,San Fransisco State University,,Oregon State University,,,,,
357,Allan,Dickerman,Virginia Polytechnic Institute and State University,Research Assistant Professor,Allan W. Dickerman,Allan Dickerman,2000,Y,RS ASST,M,,,Biocomplexity Institute,https://www.linkedin.com/in/allan-dickerman-51662936/,,"University of Wisconsin, Madison",1992,University of New Mexico,1987,Cornell University,1984,,,,['AUTHOR_ID:6603549930']
358,Allen,Mackenzie,Virginia Polytechnic Institute and State University,Associate Professor,Allen B. Mackenzie,Allen Mackenzie,2003,Y,PROF,M,,,Electrical and Computer Engineering,,http://mackenab.ece.vt.edu/wp-content/uploads/2018/11/cv-1.pdf,Cornell University,2003,.,,Vanderbilt University,1999,,,,['AUTHOR_ID:8327665000']
359,Allen,Harper,Virginia Polytechnic Institute and State University,Professor,Allen F. Harper,Allen Harper,,N,,M,,RETIRED,Animal and Poultry Sciences,https://vtnews.vt.edu/articles/2014/09/092314-cals-harperemeritus.html,,Virginia Tech,1992,Virginia Tech,,Virginia Tech,,,,,['AUTHOR_ID:7201947804']
360,Aloka,Bandara,Virginia Polytechnic Institute and State University,Research Assistant Professor,Aloka B. Bandara,Aloka Bandara,2004,Y,RS ASST,M,,,Human Nutrition Foods and Exercise,https://www.hnfe.vt.edu/people/research/bandara.html; https://www.omicsonline.org/editor-profile/Aloka_Abey_Bandara/,https://www.linkedin.com/in/abey-bandara-57b074a7,Virginia Tech,1998,"University of Peradeniya, Sri Lanka",,"University of Peradeniya, Sri Lanka",,,Virginia Tech,,['AUTHOR_ID:6701733472']
361,Aloysius,Beex,Virginia Polytechnic Institute and State University,Professor,Aloysius A. Beex,Aloysius Beex,,N,,M,,RETIRED,Electrical and Computer Engineering,https://vtnews.vt.edu/articles/2020/01/eng-emeritus-beex.html ; https://ece.vt.edu/people/profile/beex,,Colorado State University,1979,Technical University Eindhoven,1974,,,,,,['AUTHOR_ID:7005413794']
362,Ambrus,Kecskes,Virginia Polytechnic Institute and State University,Assistant Professor,Ambrus Kecskes,Ambrus Kecskes,2013,N,ASST,M,,York University,Finance,,https://sites.google.com/site/ambrusk/curriculum_vitae.pdf?attredirects=0,University of Toronto,2008,.,,University of Toronto,2003,"Virginia Tech, 2008- 2013;",,,['AUTHOR_ID:53869099300']
363,Amir,Zaghloul,Virginia Polytechnic Institute and State University,Research Assoc Professor AY,Amir I. Zaghloul,Amir Zaghloul,2001,Y,RS  PROF,M,,,Electrical and Computer Engineering,https://ieeexplore.ieee.org/author/37085450717,,"University of Waterloo, Canada",1973,"University of Waterloo, Canada",1970,"Cairo University, Egypt",1965,,,,['AUTHOR_ID:7007059212']
364,Amos,Abbott,Virginia Polytechnic Institute and State University,Associate Professor,Amos L. Abbott,Amos Abbott,,Y,PROF,M,,,Electrical and Computer Engineering,https://ece.vt.edu/people/profile/abbott,,University of Illinois,1990,Stanford University,1981,Rutgers University,1980,,,,
365,Amrinder,Nain,Virginia Polytechnic Institute and State University,Assistant Professor,Amrinder Nain,Amrinder Nain,2009,Y,ASST,M,,,Mechanical Engineering,http://www.me.vt.edu/people/faculty/amrinder-nain/,,Carnegie Melon University,2007,Carnegie Melon University,2007,Manipal Institute of Technology,1990,,"Carnegie Mellon University, 2008-2009",,['AUTHOR_ID:6603833165']
366,Ananda,Abeysekara,Virginia Polytechnic Institute and State University,Associate Professor,Ananda Abeysekara,Ananda Abeysekara,,Y,ASSOC,M,,,Religion and Culture,https://liberalarts.vt.edu/departments-and-schools/department-of-religion-and-culture/faculty/ananda-abeysekara.html,,Northwestern University,1999,University of Virginia,1994,Macalester College ,1992,,,,['AUTHOR_ID:24340766600']
367,Anbo,Wang,Virginia Polytechnic Institute and State University,Professor and Eminent Scholar,Anbo Wang,Anbo Wang,,Y,PROF,M,,,Electrical and Computer Engineering,https://www.linkedin.com/in/anbo-wang-73703b82/,,Dalian University of Technology,1990,,,,,,,,['AUTHOR_ID:7404619710']
368,Anders,Jensen,Virginia Polytechnic Institute and State University,Associate Professor,Anders Jensen,Anders Jensen,2017,N,,M,,INDUSTRY (Hisense Group),Architecture and Design,http://www.jensen-id.com/about.html,,,,,,,, Virginia Tech 2014-2017,,,['AUTHOR_ID:57191970631']
369,Anderson,Norton,Virginia Polytechnic Institute and State University,Associate Professor,Anderson H. Norton,Anderson Norton,2007,Y,PROF,M,,,Mathematics,,https://www.math.vt.edu/content/dam/math_vt_edu/cv-folder/norton-anderson.pdf,University of Georgia,2004,University of Georgia; University of Georgia ,1999; 2004,Virginia Tech,1995,"Indiana University, 2004-2007; ",,,['AUTHOR_ID:57203055790']
370,Andreas,Bachelez,Virginia Polytechnic Institute and State University,Assistant Professor,Andreas Bachelez,Andreas Bachelez,2016,N,.,M,,INDUSTRY(Columbia River Veterinary Specialists),Veterinary Medicine,https://www.linkedin.com/in/andreas-bachelez-bb15635/,,Ecole nationale vétérinaire de Lyon,2000-2005,.,,.,,Washington State University 2010-2012; Virginia Tech 2012-2016,Washington State University 2007-2010,,['AUTHOR_ID:55175636100']
371,Andrew,Allison,Virginia Polytechnic Institute and State University,Assistant Professor,Andrew Allison,Andrew Allison,2018,N,ASST,M,,University of Florida,Biomedical Sciences and Pathobiolog,https://www.vetmed.ufl.edu/about-the-college/faculty-directory/andrew-b-allison/,,University of Georgia,2010,University of Georgia,2000,Virginia Tech,1996,"Virginia Tech, 2016-2018;","Cornell University, 2011-2016",,['AUTHOR_ID:7102744471']
372,Andrew,Binks,Virginia Polytechnic Institute and State University,Associate Professor,Andrew Binks,Andrew Binks,2017,Y,ASSOC,M,,,Basic Science Education,https://www.linkedin.com/in/andrew-binks-15298a1/; https://vtnews.vt.edu/articles/2017/04/vtc-leclairbinksappointments.html,https://www.researchgate.net/profile/Andrew_Binks/experience,University of Newcastle upon-Tyne,1998,"Kings College, London",1994,University of Newcastle upon-Tyne,1993,"University of New England, 2005-2013; University of South Carolina, 2013-2016; ","Harvard University, 1998-2005",,
